ID,Firstname,Surname,Born,Gender,Year,CategoryID,Share,Motivation,Affiliation at time of award,City,CountryID
17,Nils Gustaf,Dal_n,11/30/1869,1,1912,6,1,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",Swedish Gas-Accumulator Co.,Liding_-Stockholm,56
18,Heike,Kamerlingh Onnes,09/21/1853,1,1913,6,1,"""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium""",Leiden University,Leiden,58
19,Max,von Laue,10/09/1879,1,1914,6,1,"""for his discovery of the diffraction of X-rays by crystals""",Frankfurt-on-the-Main University,Frankfurt-on-the-Main,20
20,Sir William Henry,Bragg,07/02/1862,1,1915,6,2,"""for their services in the analysis of crystal structure by means of X-rays""",University College,London,63
21,William Lawrence,Bragg,03/31/1890,1,1915,6,2,"""for their services in the analysis of crystal structure by means of X-rays""",Victoria University,Manchester,63
22,Charles Glover,Barkla,06/07/1877,1,1917,6,1,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",Edinburgh University,Edinburgh,63
23,Max Karl Ernst Ludwig,Planck,04/23/1858,1,1918,6,1,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",Berlin University,Berlin,20
24,Johannes,Stark,04/15/1874,1,1919,6,1,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",Greifswald University,Greifswald,20
25,Charles Edouard,Guillaume,02/15/1861,1,1920,6,1,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Svres,19
26,Albert,Einstein,03/14/1879,1,1921,6,1,"""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect""",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) fôr Physik,Berlin,20
27,Niels Henrik David,Bohr,10/07/1885,1,1922,6,1,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",Copenhagen University,Copenhagen,15
28,Robert Andrews,Millikan,03/22/1868,1,1923,6,1,"""for his work on the elementary charge of electricity and on the photoelectric effect""",California Institute of Technology (Caltech),"Pasadena, CA",64
29,Karl Manne Georg,Siegbahn,12/03/1886,1,1924,6,1,"""for his discoveries and research in the field of X-ray spectroscopy""",Uppsala University,Uppsala,56
30,James,Franck,08/26/1882,1,1925,6,2,"""for their discovery of the laws governing the impact of an electron upon an atom""",Goettingen University,G_ttingen,20
31,Gustav Ludwig,Hertz,07/22/1887,1,1925,6,2,"""for their discovery of the laws governing the impact of an electron upon an atom""",Halle University,Halle,20
32,Jean Baptiste,Perrin,09/30/1870,1,1926,6,1,"""for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium""",Sorbonne University,Paris,19
33,Arthur Holly,Compton,09/10/1892,1,1927,6,2,"""for his discovery of the effect named after him""",University of Chicago,"Chicago, IL",64
34,Charles Thomson Rees,Wilson,02/14/1869,1,1927,6,2,"""for his method of making the paths of electrically charged particles visible by condensation of vapour""",University of Cambridge,Cambridge,63
35,Owen Willans,Richardson,04/26/1879,1,1928,6,1,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""",London University,London,63
36,Prince Louis-Victor Pierre Raymond,de Broglie,08/15/1892,1,1929,6,1,"""for his discovery of the wave nature of electrons""","Sorbonne University, Institut Henri Poincar_",Paris,19
37,Sir Chandrasekhara Venkata,Raman,11/07/1888,1,1930,6,1,"""for his work on the scattering of light and for the discovery of the effect named after him""",Calcutta University,Calcutta,28
38,Werner Karl,Heisenberg,12/05/1901,1,1932,6,1,"""for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen""",Leipzig University,Leipzig,20
39,Erwin,Schr_dinger,08/12/1887,1,1933,6,2,"""for the discovery of new productive forms of atomic theory""",Berlin University,Berlin,20
40,Paul Adrien Maurice,Dirac,8/08/1902,1,1933,6,2,"""for the discovery of new productive forms of atomic theory""",University of Cambridge,Cambridge,63
41,James,Chadwick,10/20/1891,1,1935,6,1,"""for the discovery of the neutron""",Liverpool University,Liverpool,63
42,Victor Franz,Hess,06/24/1883,1,1936,6,2,"""for his discovery of cosmic radiation""",Innsbruck University,Innsbruck,4
43,Carl David,Anderson,9/03/1905,1,1936,6,2,"""for his discovery of the positron""",California Institute of Technology (Caltech),"Pasadena, CA",64
44,Clinton Joseph,Davisson,10/22/1881,1,1937,6,2,"""for their experimental discovery of the diffraction of electrons by crystals""",Bell Telephone Laboratories,"New York, NY",64
45,George Paget,Thomson,05/03/1892,1,1937,6,2,"""for their experimental discovery of the diffraction of electrons by crystals""",London University,London,63
46,Enrico,Fermi,9/29/1901,1,1938,6,1,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons""",Rome University,Rome,33
47,Ernest Orlando,Lawrence,8/08/1901,1,1939,6,1,"""for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements""",University of California,"Berkeley, CA",64
48,Otto,Stern,02/17/1888,1,1943,6,1,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",Carnegie Institute of Technology,"Pittsburgh, PA",64
49,Isidor Isaac,Rabi,07/29/1898,1,1944,6,1,"""for his resonance method for recording the magnetic properties of atomic nuclei""",Columbia University,"New York, NY",64
50,Wolfgang,Pauli,4/25/1900,1,1945,6,1,"""for the discovery of the Exclusion Principle, also called the Pauli Principle""",Princeton University,"Princeton, NJ",64
51,Percy Williams,Bridgman,04/21/1882,1,1946,6,1,"""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics""",Harvard University,"Cambridge, MA",64
52,Sir Edward Victor,Appleton,09/06/1892,1,1947,6,1,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""",Department of Scientific and Industrial Research,London,63
53,Patrick Maynard Stuart,Blackett,11/18/1897,1,1948,6,1,"""for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",Victoria University,Manchester,63
54,Hideki,Yukawa,1/23/1907,1,1949,6,1,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",Kyoto Imperial University,Kyoto,34
55,Hideki,Yukawa,1/23/1907,1,1949,6,1,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",Columbia University,"New York, NY",64
56,Cecil Frank,Powell,12/05/1903,1,1950,6,1,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",Bristol University,Bristol,63
57,Sir John Douglas,Cockcroft,05/27/1897,1,1951,6,2,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",Atomic Energy Research Establishment,"Harwell, Berkshire",63
58,Ernest Thomas Sinton,Walton,10/06/1903,1,1951,6,2,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",Trinity College,Dublin,31
59,Felix,Bloch,10/23/1905,1,1952,6,2,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",Stanford University,"Stanford, CA",64
60,Edward Mills,Purcell,8/30/1912,1,1952,6,2,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",Harvard University,"Cambridge, MA",64
61,Frits,Zernike,07/16/1888,1,1953,6,1,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",Groningen University,Groningen,58
62,Max,Born,12/11/1882,1,1954,6,2,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""",Edinburgh University,Edinburgh,63
63,Walther,Bothe,01/08/1891,1,1954,6,2,"""for the coincidence method and his discoveries made therewith""",University of Heidelberg,Heidelberg,20
64,Walther,Bothe,01/08/1891,1,1954,6,2,"""for the coincidence method and his discoveries made therewith""",Max-Planck-Institut fôr medizinische Forschung,Heidelberg,20
65,Willis Eugene,Lamb,7/12/1913,1,1955,6,2,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",Stanford University,"Stanford, CA",64
66,Polykarp,Kusch,1/26/1911,1,1955,6,2,"""for his precision determination of the magnetic moment of the electron""",Columbia University,"New York, NY",64
67,William Bradford,Shockley,2/13/1910,1,1956,6,3,"""for their researches on semiconductors and their discovery of the transistor effect""","Semiconductor Laboratory of Beckman Instruments, Inc.","Mountain View, CA",64
68,John,Bardeen,5/23/1908,1,1972,6,3,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",University of Illinois,"Urbana, IL",64
69,John,Bardeen,5/23/1908,1,1956,6,3,"""for their researches on semiconductors and their discovery of the transistor effect""",University of Illinois,"Urbana, IL",64
70,Walter Houser,Brattain,2/10/1902,1,1956,6,3,"""for their researches on semiconductors and their discovery of the transistor effect""",Bell Telephone Laboratories,"Murray Hill, NJ",64
71,Chen Ning,Yang,9/22/1922,1,1957,6,2,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",Institute for Advanced Study,"Princeton, NJ",64
72,Tsung-Dao (T.D.),Lee,11/24/1926,1,1957,6,2,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",Columbia University,"New York, NY",64
73,Pavel Alekseyevich,Cherenkov,7/28/1904,1,1958,6,3,"""for the discovery and the interpretation of the Cherenkov effect""",P.N. Lebedev Physical Institute,Moscow,65
74,Igor Yevgenyevich,Tamm,07/08/1895,1,1958,6,3,"""for the discovery and the interpretation of the Cherenkov effect""",University of Moscow,Moscow,65
75,Igor Yevgenyevich,Tamm,07/08/1895,1,1958,6,3,"""for the discovery and the interpretation of the Cherenkov effect""",P.N. Lebedev Physical Institute,Moscow,65
76,Emilio Gino,Segr,2/01/1905,1,1959,6,2,"""for their discovery of the antiproton""",University of California,"Berkeley, CA",64
77,Owen,Chamberlain,7/10/1920,1,1959,6,2,"""for their discovery of the antiproton""",University of California,"Berkeley, CA",64
78,Donald Arthur,Glaser,9/21/1926,1,1960,6,1,"""for the invention of the bubble chamber""",University of California,"Berkeley, CA",64
79,Robert,Hofstadter,2/05/1915,1,1961,6,2,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",Stanford University,"Stanford, CA",64
80,Rudolf Ludwig,M_ssbauer,1/31/1929,1,1961,6,2,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",Technical University,Munich,20
81,Rudolf Ludwig,M_ssbauer,1/31/1929,1,1961,6,2,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",California Institute of Technology (Caltech),"Pasadena, CA",64
82,Lev Davidovich,Landau,1/22/1908,1,1962,6,1,"""for his pioneering theories for condensed matter, especially liquid helium""",Academy of Sciences,Moscow,65
83,Eugene Paul,Wigner,11/17/1902,1,1963,6,2,"""for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles""",Princeton University,"Princeton, NJ",64
84,Maria,Goeppert Mayer,6/28/1906,0,1963,6,4,"""for their discoveries concerning nuclear shell structure""",University of California,"La Jolla, CA",64
85,J. Hans D.,Jensen,6/25/1907,1,1963,6,4,"""for their discoveries concerning nuclear shell structure""",University of Heidelberg,Heidelberg,20
86,Charles Hard,Townes,7/28/1915,1,1964,6,2,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",64
87,Nicolay Gennadiyevich,Basov,12/14/1922,1,1964,6,4,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",P.N. Lebedev Physical Institute,Moscow,65
88,Aleksandr Mikhailovich,Prokhorov,7/11/1916,1,1964,6,4,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",P.N. Lebedev Physical Institute,Moscow,65
89,Sin-Itiro,Tomonaga,3/31/1906,1,1965,6,3,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",Tokyo University of Education,Tokyo,34
90,Julian,Schwinger,2/12/1918,1,1965,6,3,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",Harvard University,"Cambridge, MA",64
91,Richard P.,Feynman,5/11/1918,1,1965,6,3,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",California Institute of Technology (Caltech),"Pasadena, CA",64
92,Alfred,Kastler,5/03/1902,1,1966,6,1,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms""",€cole Normale Sup_rieure,Paris,19
93,Hans Albrecht,Bethe,7/02/1906,1,1967,6,1,"""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars""",Cornell University,"Ithaca, NY",64
94,Luis Walter,Alvarez,6/13/1911,1,1968,6,1,"""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",University of California,"Berkeley, CA",64
95,Murray,Gell-Mann,9/15/1929,1,1969,6,1,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions""",California Institute of Technology (Caltech),"Pasadena, CA",64
96,Hannes Olof G_sta,Alfv_n,5/30/1908,1,1970,6,2,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""",Royal Institute of Technology,Stockholm,56
97,Louis Eugne F_lix,N_el,11/22/1904,1,1970,6,2,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""",University of Grenoble,Grenoble,19
98,Dennis,Gabor,6/05/1900,1,1971,6,1,"""for his invention and development of the holographic method""",Imperial College,London,63
99,Leon Neil,Cooper,2/28/1930,1,1972,6,3,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",Brown University,"Providence, RI",64
100,John Robert,Schrieffer,5/31/1931,1,1972,6,3,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",University of Pennsylvania,"Philadelphia, PA",64
101,Leo,Esaki,3/12/1925,1,1973,6,4,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",IBM Thomas J. Watson Research Center,"Yorktown Heights, NY",64
102,Ivar,Giaever,4/05/1929,1,1973,6,4,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",General Electric Company,"Schenectady, NY",64
103,Brian David,Josephson,1/04/1940,1,1973,6,2,"""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects""",University of Cambridge,Cambridge,63
104,Sir Martin,Ryle,9/27/1918,1,1974,6,2,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",University of Cambridge,Cambridge,63
105,Antony,Hewish,5/11/1924,1,1974,6,2,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",University of Cambridge,Cambridge,63
106,Aage Niels,Bohr,6/19/1922,1,1975,6,3,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",Niels Bohr Institute,Copenhagen,15
107,Ben Roy,Mottelson,7/09/1926,1,1975,6,3,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",Nordita,Copenhagen,15
108,Leo James,Rainwater,12/09/1917,1,1975,6,3,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",Columbia University,"New York, NY",64
109,Burton,Richter,3/22/1931,1,1976,6,2,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",Stanford Linear Accelerator Center,"Stanford, CA",64
110,Samuel Chao Chung,Ting,1/27/1936,1,1976,6,2,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",64
111,Philip Warren,Anderson,12/13/1923,1,1977,6,3,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",Bell Telephone Laboratories,"Murray Hill, NJ",64
112,Sir Nevill Francis,Mott,9/30/1905,1,1977,6,3,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",University of Cambridge,Cambridge,63
113,John Hasbrouck,van Vleck,03/13/1899,1,1977,6,3,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",Harvard University,"Cambridge, MA",64
114,Pyotr Leonidovich,Kapitsa,07/09/1894,1,1978,6,2,"""for his basic inventions and discoveries in the area of low-temperature physics""",Academy of Sciences,Moscow,65
115,Arno Allan,Penzias,4/26/1933,1,1978,6,4,"""for their discovery of cosmic microwave background radiation""",Bell Laboratories,"Holmdel, NJ",64
116,Robert Woodrow,Wilson,1/10/1936,1,1978,6,4,"""for their discovery of cosmic microwave background radiation""",Bell Laboratories,"Holmdel, NJ",64
117,Sheldon Lee,Glashow,12/05/1932,1,1979,6,3,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""","Harvard University, Lyman Laboratory","Cambridge, MA",64
118,Abdus,Salam,1/29/1926,1,1979,6,3,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",Imperial College,London,63
119,Abdus,Salam,1/29/1926,1,1979,6,3,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",International Centre for Theoretical Physics,Trieste,33
120,Steven,Weinberg,5/03/1933,1,1979,6,3,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",Harvard University,"Cambridge, MA",64
121,James Watson,Cronin,9/29/1931,1,1980,6,2,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",University of Chicago,"Chicago, IL",64
122,Val Logsdon,Fitch,3/10/1923,1,1980,6,2,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",Princeton University,"Princeton, NJ",64
123,Nicolaas,Bloembergen,3/11/1920,1,1981,6,4,"""for their contribution to the development of laser spectroscopy""",Harvard University,"Cambridge, MA",64
124,Arthur Leonard,Schawlow,5/05/1921,1,1981,6,4,"""for their contribution to the development of laser spectroscopy""",Stanford University,"Stanford, CA",64
125,Kai M.,Siegbahn,4/19/1918,1,1981,6,2,"""for his contribution to the development of high-resolution electron spectroscopy""",Uppsala University,Uppsala,56
126,Kenneth G.,Wilson,6/08/1936,1,1982,6,1,"""for his theory for critical phenomena in connection with phase transitions""",Cornell University,"Ithaca, NY",64
127,Subramanyan,Chandrasekhar,10/19/1910,1,1983,6,2,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",University of Chicago,"Chicago, IL",64
128,William Alfred,Fowler,8/09/1911,1,1983,6,2,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""",California Institute of Technology (Caltech),"Pasadena, CA",64
129,Carlo,Rubbia,3/31/1934,1,1984,6,2,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",CERN,Geneva,57
130,Simon,van der Meer,11/24/1925,1,1984,6,2,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",CERN,Geneva,57
131,Klaus,von Klitzing,6/28/1943,1,1985,6,1,"""for the discovery of the quantized Hall effect""",Max-Planck-Institut fôr Festk_rperforschung,Stuttgart,20
132,Ernst,Ruska,12/25/1906,1,1986,6,2,"""for his fundamental work in electron optics, and for the design of the first electron microscope""",Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,20
133,Gerd,Binnig,7/20/1947,1,1986,6,4,"""for their design of the scanning tunneling microscope""",IBM Zurich Research Laboratory,Rôschlikon,57
134,Heinrich,Rohrer,6/06/1933,1,1986,6,4,"""for their design of the scanning tunneling microscope""",IBM Zurich Research Laboratory,Rôschlikon,57
135,J. Georg,Bednorz,5/16/1950,1,1987,6,2,"""for their important break-through in the discovery of superconductivity in ceramic materials""",IBM Zurich Research Laboratory,Rôschlikon,57
136,K. Alexander,Môller,4/19/1927,1,1987,6,2,"""for their important break-through in the discovery of superconductivity in ceramic materials""",IBM Zurich Research Laboratory,Rôschlikon,57
137,Leon M.,Lederman,7/15/1922,1,1988,6,3,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",Fermi National Accelerator Laboratory,"Batavia, IL",64
138,Melvin,Schwartz,11/02/1932,1,1988,6,3,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""","Digital Pathways, Inc.","Mountain View, CA",64
139,Jack,Steinberger,5/25/1921,1,1988,6,3,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",CERN,Geneva,57
140,Norman F.,Ramsey,8/27/1915,1,1989,6,2,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""",Harvard University,"Cambridge, MA",64
141,Hans G.,Dehmelt,9/09/1922,1,1989,6,4,"""for the development of the ion trap technique""",University of Washington,"Seattle, WA",64
142,Wolfgang,Paul,8/10/1913,1,1989,6,4,"""for the development of the ion trap technique""",University of Bonn,Bonn,20
143,Jerome I.,Friedman,3/28/1930,1,1990,6,3,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",64
144,Henry W.,Kendall,12/09/1926,1,1990,6,3,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",64
145,Richard E.,Taylor,11/02/1929,1,1990,6,3,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",Stanford University,"Stanford, CA",64
146,Pierre-Gilles,de Gennes,10/24/1932,1,1991,6,1,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers""",Collge de France,Paris,19
147,Georges,Charpak,8/01/1924,1,1992,6,1,"""for his invention and development of particle detectors, in particular the multiwire proportional chamber""",CERN,Geneva,57
148,Georges,Charpak,8/01/1924,1,1992,6,1,"""for his invention and development of particle detectors, in particular the multiwire proportional chamber""",€cole Sup_rieure de Physique et Chimie,Paris,19
149,Russell A.,Hulse,11/28/1950,1,1993,6,2,"""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation""",Princeton University,"Princeton, NJ",64
150,Joseph H.,Taylor Jr.,3/29/1941,1,1993,6,2,"""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation""",Princeton University,"Princeton, NJ",64
151,Bertram N.,Brockhouse,7/15/1918,1,1994,6,2,"""for the development of neutron spectroscopy""",McMaster University,"Hamilton, Ontario",9
152,Clifford G.,Shull,9/23/1915,1,1994,6,2,"""for the development of the neutron diffraction technique""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",64
153,Martin L.,Perl,6/24/1927,1,1995,6,2,"""for the discovery of the tau lepton""",Stanford University,"Stanford, CA",64
154,Frederick,Reines,3/16/1918,1,1995,6,2,"""for the detection of the neutrino""",University of California,"Irvine, CA",64
155,David M.,Lee,1/20/1931,1,1996,6,3,"""for their discovery of superfluidity in helium-3""",Cornell University,"Ithaca, NY",64
156,Douglas D.,Osheroff,8/01/1945,1,1996,6,3,"""for their discovery of superfluidity in helium-3""",Stanford University,"Stanford, CA",64
157,Robert C.,Richardson,6/26/1937,1,1996,6,3,"""for their discovery of superfluidity in helium-3""",Cornell University,"Ithaca, NY",64
158,Steven,Chu,2/28/1948,1,1997,6,3,"""for development of methods to cool and trap atoms with laser light""",Stanford University,"Stanford, CA",64
159,Claude,Cohen-Tannoudji,4/01/1933,1,1997,6,3,"""for development of methods to cool and trap atoms with laser light""",Collge de France,Paris,19
160,Claude,Cohen-Tannoudji,4/01/1933,1,1997,6,3,"""for development of methods to cool and trap atoms with laser light""",€cole Normale Sup_rieure,Paris,19
161,William D.,Phillips,11/05/1948,1,1997,6,3,"""for development of methods to cool and trap atoms with laser light""",National Institute of Standards and Technology,"Gaithersburg, MD",64
162,Robert B.,Laughlin,11/01/1950,1,1998,6,3,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",Stanford University,"Stanford, CA",64
163,Horst L.,St_rmer,4/06/1949,1,1998,6,3,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",Columbia University,"New York, NY",64
164,Daniel C.,Tsui,2/28/1939,1,1998,6,3,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",Princeton University,"Princeton, NJ",64
165,Gerardus,'t Hooft,7/05/1946,1,1999,6,2,"""for elucidating the quantum structure of electroweak interactions in physics""",Utrecht University,Utrecht,58
166,Martinus J.G.,Veltman,6/27/1931,1,1999,6,2,"""for elucidating the quantum structure of electroweak interactions in physics""",,Bilthoven,58
